Post Date,Day,Creative Title,Status,Channel,Asset Filename,Products,Was,Now,Save,Valid Dates,Caption,Posted By,Posted At,Notes
2026-06-03,Wednesday,Winter Defence Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-03-winter-defence-duo.png,Vivid Immune Plus + Buffered C,R296,R266,R30,03 JUN TO 10 JUN 2026,"❄️ Winter Defence Duo
Vivid Immune Plus + Buffered C for everyday immune routine support.

🔥 Now R266 (was R296) - save R30
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-04,Thursday,Mineral Balance Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-04-mineral-balance-duo.png,Magnesium 7/87 + Potassium MAX,R440,R396,R44,04 JUN TO 11 JUN 2026,"🌙 Mineral Balance Duo
Magnesium 7/87 + Potassium MAX for calm evenings and daily mineral balance.

🔥 Now R396 (was R440) - save R44
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-08,Monday,Morning Energy Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-08-morning-energy-duo.png,B12 Energy Patch + Vitamin B Complex,R574,R517,R57,08 JUN TO 15 JUN 2026,"☀️ Morning Energy Duo
B12 Energy Patch + Vitamin B Complex for a cleaner morning routine.

🔥 Now R517 (was R574) - save R57
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-10,Wednesday,Energy Foundation,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-10-energy-foundation.png,Soft Iron Boost + B-Complex,R469,R422,R47,10 JUN TO 17 JUN 2026,"⚡ Energy Foundation
Soft Iron Boost + B-Complex for daily energy routine support.

🔥 Now R422 (was R469) - save R47
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-11,Thursday,Griffonia Calm,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-11-griffonia-calm.png,Vivid Griffonia (5-HTP),R275,R248,R27,11 JUN TO 18 JUN 2026,"🌙 Griffonia Calm
Vivid Griffonia (5-HTP) for evening mood and wind-down routine support.

🔥 Now R248 (was R275) - save R27
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-15,Monday,Magnesium Night Reset,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-15-magnesium-night-reset.png,Willow Magnesium Glycinate,R361,R325,R36,15 JUN TO 22 JUN 2026,"🌙 Magnesium Night Reset
Willow Magnesium Glycinate for the evening shelf: calm routine, muscle function and daily wellness support.

🔥 Now R325 (was R361) - save R36
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-17,Wednesday,Joint Beauty Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-17-joint-beauty-duo.png,Omega Oil + Bare Collagen,R612,R551,R61,17 JUN TO 24 JUN 2026,"✨ Joint Beauty Duo
Omega Oil + Bare Collagen: a clean daily stack for joint comfort, skin support and winter wellness.

🔥 Now R551 (was R612) - save R61
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-18,Thursday,Creatine Recovery,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-18-creatine-recovery.png,Natroceutics Creatine Monohydrate,R399,R359,R40,18 JUN TO 25 JUN 2026,"💪 Creatine Recovery
Natroceutics Creatine for training support, recovery and daily performance.

🔥 Now R359 (was R399) - save R40
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-22,Monday,Kiddies Winter Shake Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-22-kiddies-winter-shake-duo.png,Raw Chocolate + Berry Blast,R730,R657,R73,22 JUN TO 29 JUN 2026,"🥤 Kiddies Winter Shake Duo
Raw Chocolate + Berry Blast for an easy kids superfood shake routine this winter.

🔥 Now R657 (was R730) - save R73
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-24,Wednesday,Junior Immune Gummies,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-24-junior-immune-gummies.png,Pelaforce + Zinplex Junior,R476,R429,R47,24 JUN TO 01 JUL 2026,"🍊 Junior Immune Gummies
Pelaforce + Zinplex Junior: the gummy shelf pick for kids winter wellness support.

🔥 Now R429 (was R476) - save R47
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-25,Thursday,Gut Reset Trio,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-25-gut-reset-trio.png,Probiotic + Enzymes + Fibre,R707,R636,R71,25 JUN TO 02 JUL 2026,"🌿 Gut Reset Trio
Probiotic + enzymes + fibre: a tidy daily gut routine in one weekly offer.

🔥 Now R636 (was R707) - save R71
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-06-29,Monday,Wind-Down Stack,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-06-29-wind-down-stack.png,L-Theanine + Ashwagandha,R646,R581,R65,29 JUN TO 06 JUL 2026,"🌙 Wind-Down Stack
L-Theanine + Ashwagandha for an evening calm routine when the week needs a slower finish.

🔥 Now R581 (was R646) - save R65
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
