branch,document_date,value_excl_after_discount,gross_profit
EDN,2026-06-01,12704.95,4490.62
GVS,2026-06-01,10934.53,3477.02
HO,2026-06-01,64708.89,22547.65
EDN,2026-06-02,11065.44,3839.4
GVS,2026-06-02,11394.71,3661.83
HO,2026-06-02,46449.22,15695.16
EDN,2026-06-03,15560.82,5259.92
GVS,2026-06-03,20978.18,6711.42
HO,2026-06-03,57733.27,18325.06
EDN,2026-06-04,12029.53,4238.08
GVS,2026-06-04,13937.41,4375.53
HO,2026-06-04,53710.97,18090.35
EDN,2026-06-05,10925.46,3706.89
GVS,2026-06-05,8138.57,2736.44
HO,2026-06-05,49796.41,17366.18
EDN,2026-06-06,15662.57,5812.62
GVS,2026-06-06,7152.38,2616
HO,2026-06-06,72772.05,24815.27
EDN,2026-06-07,20124.68,6394.98
GVS,2026-06-07,9880.36,3110.29
EDN,2026-06-08,11211.27,3757.68
GVS,2026-06-08,11872.2,3485.37
HO,2026-06-08,58245.59,19511.05
EDN,2026-06-09,7691.93,2750.39
GVS,2026-06-09,8738.18,3226.54
HO,2026-06-09,56645.88,19156.27
EDN,2026-06-10,16456.64,5256.12
GVS,2026-06-10,27833.6,9294.01
HO,2026-06-10,83542.88,27827.37
EDN,2026-06-11,10519.7,3678.09
GVS,2026-06-11,11135.46,3614.32
HO,2026-06-11,42103.45,13793.19
EDN,2026-06-12,8210.09,2805.5
GVS,2026-06-12,6024.31,1967.66
HO,2026-06-12,48475.04,15984.78
HO,2026-06-13,665.31,345.98
EDN,2026-06-13,303.48,91.48
GVS,2026-06-13,239.13,98.38
EDN,2026-06-14,260,91
